               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.021196,           0.0095684,           0.0016111,             0.85287,             0.85024,             0.87962,             0.65504,            0.012563,           0.0053857,           0.0019745,            0.008317,            0.008317,            0.008317
                  36,              0.0211,           0.0095469,           0.0013651,             0.86289,             0.84234,             0.87743,             0.64948,            0.012506,           0.0057369,           0.0016549,           0.0082675,           0.0082675,           0.0082675
                  37,            0.020974,           0.0095042,           0.0014957,             0.83503,             0.82216,              0.8679,              0.6509,            0.012424,           0.0061945,           0.0011544,            0.008218,            0.008218,            0.008218
                  38,            0.021012,           0.0095075,            0.001557,             0.87075,             0.81059,             0.86849,             0.64457,            0.012823,           0.0056094,           0.0024322,           0.0081685,           0.0081685,           0.0081685
                  39,            0.021029,           0.0094985,           0.0014459,              0.8506,             0.85325,                0.88,             0.66612,            0.012576,           0.0052712,           0.0012023,            0.008119,            0.008119,            0.008119
                  40,             0.02086,            0.009299,           0.0013319,              0.8695,             0.82742,             0.87535,             0.65348,            0.012642,           0.0058963,           0.0010186,           0.0080695,           0.0080695,           0.0080695
                  41,            0.020421,           0.0092392,           0.0010919,              0.8916,             0.79603,             0.87505,             0.65062,            0.012294,           0.0058183,           0.0020828,             0.00802,             0.00802,             0.00802
                  42,            0.020294,           0.0091412,           0.0013202,             0.86548,             0.82889,              0.8792,             0.66375,            0.012514,           0.0057842,           0.0017828,           0.0079705,           0.0079705,           0.0079705
                  43,             0.02025,           0.0089718,           0.0012441,             0.87822,             0.83968,             0.88571,              0.6715,            0.012121,            0.005701,           0.0014261,            0.007921,            0.007921,            0.007921
                  44,            0.020026,           0.0091297,            0.001198,             0.89552,             0.81689,             0.88495,             0.66827,            0.012373,           0.0062027,           0.0015473,           0.0078715,           0.0078715,           0.0078715
                  45,            0.020301,            0.009199,           0.0012781,             0.88517,             0.81342,             0.87902,              0.6692,            0.012105,           0.0057113,           0.0017011,            0.007822,            0.007822,            0.007822
